,Year,Price,Miles
0,2015,17499,40760
1,2013,11000,116638
2,2020,26999,32770
3,2017,18990,71747
4,2015,19590,55322
5,2014,16990,65973
6,2014,12999,92490
7,2013,14990,98142
8,2014,16990,64442
9,2018,21999,47748
10,2010,5495,215034
11,2016,20999,38423
12,2013,13499,99501
13,2006,4999,120163
14,2010,5999,188600
15,2020,26990,7078
16,2015,15995,97164
17,2010,4795,221287
18,2008,7446,121784
19,2013,9450,172342
20,2006,3995,212760
21,2015,7900,173455
22,2013,7999,165507
23,2020,28999,12374
24,2017,22990,37886
25,2017,24999,10131
26,2012,10950,142143
27,2015,18990,33210
28,2011,6700,168080
29,2015,7900,177556
30,2013,11999,83199
31,2014,9995,156036
32,2013,13652,90292
33,2015,15955,88400
34,2015,18990,53637
35,2017,24990,30929
36,2007,7950,137537
37,2010,6500,190134
38,2005,4999,244989
39,2017,23590,52989
40,2010,5995,160667
41,2007,6995,126463
42,2015,15995,75192
43,2013,14950,97561
44,2016,20990,48406
45,2008,5900,175974
46,2015,9999,192713
47,2007,6488,133509
48,2015,18990,58665
49,2016,23990,34594
50,2005,6519,112720
51,2015,15990,81477
52,2011,10499,102850
53,2014,10950,141253
54,2016,16500,92210
55,2011,9885,92069
56,2013,10000,123665
57,2015,9500,186400
58,2010,9995,123779
59,2015,15995,55691
60,2018,23988,68951
61,2015,20590,45654
62,2008,4995,252789
63,2013,11969,98225
64,2011,8999,128790
65,2021,28990,6992
66,2019,25999,29709
67,2018,23989,44427
68,2016,15991,106428
69,2013,13000,107050
70,2005,3995,202502
71,2017,22590,56062
72,2014,13909,35590
73,2011,8998,148179
74,2013,9882,148823
75,2015,17495,56628
76,2012,10999,133000
77,2012,8769,156355
78,2020,26000,3000
79,2015,14998,99955
80,2011,12483,80712
81,2015,16998,79636
82,2010,7597,145237
83,2013,19033,38981
84,2016,22590,50019
85,2011,11499,100735
86,2015,20990,37930
87,2016,21990,45073
88,2019,27990,12990
89,2016,22990,60321
90,2017,17489,91250
91,2018,18487,97656
92,2018,24990,25082
93,2009,4998,212286
94,2005,5972,120250
95,2008,8250,109379
96,2015,14999,84595
97,2018,23988,50533
98,2011,12840,73904
99,2017,24000,25201
100,2017,18990,70712
101,2018,18195,120534
102,2014,10999,101641
103,2015,12250,116576
104,2016,24590,23117
105,2011,15590,52948
106,2015,14478,95898
107,2010,7995,148734
108,2005,4499,134453
109,2014,8299,160665
110,2018,18712,65311
111,2016,20990,70322
112,2012,10888,114337
113,2016,19300,40000
114,2018,22295,53819
115,2014,13998,84000
116,2012,7939,172000
117,2020,22597,38956
118,2015,14551,110797
119,2009,9995,72760
120,2010,9990,100448
121,2010,7995,140329
122,2007,6990,134434
123,2011,8499,112331
124,2018,26990,25859
125,2014,8995,176671
126,2008,6995,203065
127,2015,13591,74656
128,2011,6409,212000
129,2015,18291,43421
130,2003,4995,123708
131,2014,15991,36110
132,2020,16995,21570
133,2009,8950,135845
134,2015,17499,40760
135,2014,16899,59153
136,2015,7995,227799
137,2013,12999,111327
138,2018,19249,56257
139,2009,6995,111029
140,2006,6950,148937
141,2020,28995,3452
142,2015,17877,61701
143,2008,7995,88496
144,2004,4495,191087
145,2017,20985,37700
146,2010,9633,113292
147,2015,11999,137129
148,2010,9100,110161
149,2016,21348,54955
150,2018,25999,22909
151,2016,17999,74016
152,2020,19202,70541
153,2020,19202,70541
154,2019,23989,38935
155,2016,21461,82421
156,2014,12900,118212
157,2011,7995,168125
158,2009,7999,161348
159,2016,15999,123284
160,2008,8995,106327
161,2016,16500,91400
162,2012,10250,126003
163,2016,14995,136783
164,2016,19995,66734
165,2011,9497,103504
166,2015,13682,117330
167,2014,7985,199194
168,2005,2500,233685
169,2013,10567,152077
170,2015,14274,97435
171,2015,17970,54400
172,2018,21100,75150
173,2019,22997,40882
174,2015,19516,19981
175,2014,13951,98360
176,2018,18990,72969
177,2013,13950,100056
178,2012,8991,116580
179,2014,9850,157087
180,2014,16990,64556
181,2008,5890,136481
182,2010,6399,150452
183,2014,10995,148340
184,2018,21799,51623
185,2010,8921,145965
186,2015,13439,123521
187,2012,17998,71223
188,2013,16590,73233
189,2008,5900,175858
190,2010,6995,137903
191,2010,7493,145474
192,2014,11488,158820
193,2015,13995,99402
194,2016,17997,82858
195,2020,22575,19638
196,2015,18990,40178
197,2007,4990,125175
198,2016,19777,61450
199,2010,10364,79293
200,2010,10895,54625
201,2018,22248,39736
202,2016,17731,87047
203,2016,19354,41762
204,2015,17894,58055
205,2017,23528,38024
206,2012,14596,53870
207,2013,12995,99708
208,2012,11998,113378
209,2015,9991,184899
210,2010,4999,189848
211,2017,18984,81151
212,2015,15472,79790
213,2008,5000,203084
214,2013,11850,105626
215,2019,28999,15419
216,2015,17995,77507
217,2010,8995,135659
218,2016,15997,117915
219,2017,17997,74008
220,2010,14990,59469
221,2013,14995,59853
222,2015,14995,84631
223,2016,16815,102768
224,2007,4599,225686
225,2013,10394,129100
226,2019,23495,41272
227,2017,20649,45603
228,2012,15990,87889
229,2015,17895,56618
230,2005,6000,149050
231,2014,16000,53018
232,2015,13900,89447
233,2019,26900,43137
234,2014,12995,117607
235,2016,17990,79082
236,2013,18990,44160
237,2015,17400,68950
238,2013,12300,69087
239,2016,24588,18845
240,2017,23990,25049
241,2015,9711,197751
242,2018,22200,70370
243,2015,13791,136626
244,2013,24752,109015
